id,product,quantity,price,date
1,Monitor,2,301.0,2024-01-19
2,Keyboard,5,76.01,2024-01-29
3,Laptop,1,1273.68,2024-01-19
4,Keyboard,4,71.68,2024-01-01
5,Webcam,2,57.23,2024-01-17
6,Mouse,4,26.19,2024-01-05
7,Keyboard,2,75.7,2024-01-21
8,Keyboard,1,70.8,2024-01-05
9,Headphones,2,97.84,2024-01-30
10,Mouse,2,22.81,2024-01-13
11,Mouse,2,23.14,2024-01-27
12,Monitor,2,322.16,2024-01-01
13,Monitor,2,315.21,2024-01-24
14,Mouse,3,26.66,2024-01-21
15,Monitor,5,307.58,2024-01-08
16,Keyboard,5,76.79,2024-01-05
17,Keyboard,2,73.23,2024-01-17
18,Monitor,4,300.68,2024-01-03
19,Webcam,5,51.72,2024-01-05
20,Mouse,1,20.37,2024-01-18
21,Monitor,3,316.18,2024-01-25
22,Keyboard,3,74.13,2024-01-23
23,Webcam,3,50.29,2024-01-11
24,Keyboard,4,72.63,2024-01-08
25,Mouse,4,26.86,2024-01-22
26,Webcam,4,57.9,2024-01-14
27,Webcam,3,54.31,2024-01-16
28,Mouse,3,23.31,2024-01-14
29,Laptop,3,1298.35,2024-01-09
30,Keyboard,1,79.05,2024-01-08
31,Mouse,2,24.36,2024-01-19
32,Laptop,3,1266.99,2024-01-01
33,Laptop,5,1128.73,2024-01-14
34,Mouse,4,23.54,2024-01-20
35,Webcam,5,59.3,2024-01-09
36,Laptop,2,1105.05,2024-01-14
37,Webcam,5,59.35,2024-01-08
38,Laptop,1,1116.85,2024-01-09
39,Keyboard,3,73.0,2024-01-24
40,Keyboard,3,74.58,2024-01-21
41,Monitor,4,312.34,2024-01-27
42,Laptop,3,1240.69,2024-01-11
43,Keyboard,4,73.09,2024-01-03
44,Laptop,1,1297.05,2024-01-20
45,Mouse,5,29.83,2024-01-12
46,Keyboard,3,76.78,2024-01-15
47,Webcam,3,53.06,2024-01-11
48,Keyboard,4,70.73,2024-01-23
49,Monitor,2,329.53,2024-01-30
50,Laptop,5,1283.51,2024-01-28
51,Keyboard,2,70.07,2024-01-25
52,Webcam,2,52.04,2024-01-01
53,Keyboard,1,78.57,2024-01-03
54,Headphones,4,96.8,2024-01-10
55,Laptop,5,1112.57,2024-01-24
56,Laptop,5,1118.25,2024-01-11
57,Keyboard,3,75.45,2024-01-23
58,Keyboard,1,77.44,2024-01-07
59,Laptop,1,1308.42,2024-01-10
60,Keyboard,2,77.56,2024-01-11
61,Laptop,2,1185.63,2024-01-28
62,Headphones,5,101.05,2024-01-06
63,Headphones,5,101.85,2024-01-29
64,Laptop,4,1319.37,2024-01-31
65,Laptop,3,1175.16,2024-01-02
66,Webcam,3,53.6,2024-01-31
67,Webcam,2,53.45,2024-01-26
68,Headphones,4,95.46,2024-01-06
69,Keyboard,2,75.51,2024-01-20
70,Laptop,3,1108.68,2024-01-17
71,Laptop,2,1227.06,2024-01-17
72,Laptop,1,1145.87,2024-01-01
73,Mouse,5,22.71,2024-01-12
74,Headphones,3,91.0,2024-01-10
75,Laptop,4,1196.38,2024-01-10
76,Keyboard,1,73.99,2024-01-10
77,Laptop,5,1247.7,2024-01-07
78,Keyboard,3,73.67,2024-01-23
79,Webcam,4,55.17,2024-01-08
80,Headphones,4,96.4,2024-01-28
81,Mouse,4,21.51,2024-01-13
82,Webcam,5,55.96,2024-01-13
83,Monitor,4,311.55,2024-01-12
84,Webcam,4,54.5,2024-01-08
85,Keyboard,5,78.31,2024-01-03
86,Keyboard,3,78.4,2024-01-26
87,Mouse,5,22.8,2024-01-07
88,Monitor,5,321.34,2024-01-28
89,Keyboard,3,73.23,2024-01-04
90,Laptop,3,1250.5,2024-01-03
91,Headphones,2,94.14,2024-01-30
92,Keyboard,2,79.68,2024-01-22
93,Laptop,4,1270.7,2024-01-07
94,Monitor,3,308.03,2024-01-28
95,Monitor,5,325.7,2024-01-07
96,Webcam,2,51.31,2024-01-13
97,Mouse,3,28.41,2024-01-21
98,Mouse,4,28.3,2024-01-02
99,Mouse,3,26.59,2024-01-25
100,Laptop,5,1192.98,2024-01-20
